n,semilla,seleccion,maximo,acierto
30000,90,30000,30000,SI
30000,91,29999,30000,NO
30000,92,30000,30000,SI
30000,93,29896,30000,NO
30000,94,17918,30000,NO
30000,95,24909,30000,NO
30000,96,12144,30000,NO
30000,97,30000,30000,SI
30000,98,11679,30000,NO
30000,99,30000,30000,SI
40000,0,25248,40000,NO
40000,1,8806,40000,NO
40000,2,3707,40000,NO
40000,3,15596,40000,NO
40000,4,15470,40000,NO
40000,5,16741,40000,NO
40000,6,37606,40000,NO
40000,7,40000,40000,SI
40000,8,14858,40000,NO
40000,9,40000,40000,SI
40000,10,39999,40000,NO
40000,11,29648,40000,NO
40000,12,39998,40000,NO
40000,13,40000,40000,SI
40000,14,7002,40000,NO
40000,15,40000,40000,SI
40000,16,23693,40000,NO
40000,17,40000,40000,SI
40000,18,40000,40000,SI
40000,19,40000,40000,SI
40000,20,40000,40000,SI
40000,21,10811,40000,NO
40000,22,40000,40000,SI
40000,23,19000,40000,NO
40000,24,25092,40000,NO
40000,25,24705,40000,NO
40000,26,39998,40000,NO
40000,27,31450,40000,NO
40000,28,40000,40000,SI
40000,29,35922,40000,NO
40000,30,40000,40000,SI
40000,31,805,40000,NO
40000,32,39999,40000,NO
40000,33,37378,40000,NO
40000,34,40000,40000,SI
40000,35,35960,40000,NO
40000,36,39999,40000,NO
40000,37,40000,40000,SI
40000,38,27599,40000,NO
40000,39,40000,40000,SI
40000,40,30056,40000,NO
40000,41,40000,40000,SI
40000,42,7297,40000,NO
40000,43,39996,40000,NO
40000,44,40000,40000,SI
40000,45,40000,40000,SI
40000,46,5006,40000,NO
40000,47,23059,40000,NO
40000,48,35925,40000,NO
40000,49,40000,40000,SI
40000,50,32607,40000,NO
40000,51,15960,40000,NO
40000,52,39999,40000,NO
40000,53,39999,40000,NO
40000,54,9010,40000,NO
40000,55,5921,40000,NO
40000,56,39998,40000,NO
40000,57,39999,40000,NO
40000,58,40000,40000,SI
40000,59,40000,40000,SI
40000,60,20173,40000,NO
40000,61,39999,40000,NO
40000,62,40000,40000,SI
40000,63,29173,40000,NO
40000,64,40000,40000,SI
40000,65,27181,40000,NO
40000,66,4641,40000,NO
40000,67,4902,40000,NO
40000,68,30564,40000,NO
40000,69,2445,40000,NO
40000,70,40000,40000,SI
40000,71,21218,40000,NO
40000,72,40000,40000,SI
40000,73,18338,40000,NO
40000,74,33770,40000,NO
40000,75,40000,40000,SI
40000,76,24285,40000,NO
40000,77,16563,40000,NO
40000,78,40000,40000,SI
40000,79,9525,40000,NO
40000,80,17793,40000,NO
40000,81,40000,40000,SI
40000,82,39999,40000,NO
40000,83,40000,40000,SI
40000,84,18586,40000,NO
40000,85,13081,40000,NO
40000,86,2034,40000,NO
40000,87,9566,40000,NO
40000,88,26050,40000,NO
40000,89,40000,40000,SI
40000,90,40000,40000,SI
40000,91,40000,40000,SI
40000,92,39999,40000,NO
40000,93,39999,40000,NO
40000,94,35836,40000,NO
40000,95,34856,40000,NO
40000,96,24288,40000,NO
40000,97,40000,40000,SI
40000,98,40000,40000,SI
40000,99,40000,40000,SI
50000,0,25248,50000,NO
50000,1,8806,50000,NO
50000,2,3707,50000,NO
50000,3,50000,50000,SI
50000,4,15470,50000,NO
50000,5,50000,50000,SI
50000,6,37606,50000,NO
50000,7,50000,50000,SI
50000,8,50000,50000,SI
50000,9,30344,50000,NO
50000,10,50000,50000,SI
50000,11,50000,50000,SI
50000,12,49997,50000,NO
50000,13,50000,50000,SI
50000,14,7002,50000,NO
50000,15,13696,50000,NO
50000,16,23693,50000,NO
50000,17,50000,50000,SI
50000,18,49999,50000,NO
50000,19,44377,50000,NO
50000,20,50000,50000,SI
50000,21,10811,50000,NO
50000,22,50000,50000,SI
50000,23,19000,50000,NO
50000,24,50000,50000,SI
50000,25,24705,50000,NO
50000,26,48975,50000,NO
50000,27,42500,50000,NO
50000,28,7403,50000,NO
50000,29,35922,50000,NO
50000,30,49999,50000,NO
50000,31,805,50000,NO
50000,32,50000,50000,SI
50000,33,37378,50000,NO
50000,34,34665,50000,NO
50000,35,50000,50000,SI
50000,36,49999,50000,NO
50000,37,44696,50000,NO
50000,38,50000,50000,SI
50000,39,50000,50000,SI
50000,40,30056,50000,NO
50000,41,49999,50000,NO
50000,42,41906,50000,NO
50000,43,2527,50000,NO
50000,44,49998,50000,NO
50000,45,50000,50000,SI
50000,46,5006,50000,NO
50000,47,23059,50000,NO
50000,48,35925,50000,NO
50000,49,49999,50000,NO
50000,50,32607,50000,NO
50000,51,15960,50000,NO
50000,52,49995,50000,NO
50000,53,50000,50000,SI
50000,54,9010,50000,NO
50000,55,50000,50000,SI
50000,56,36685,50000,NO
50000,57,50000,50000,SI
50000,58,38061,50000,NO
50000,59,50000,50000,SI
50000,60,50000,50000,SI
50000,61,49999,50000,NO
50000,62,50000,50000,SI
50000,63,50000,50000,SI
50000,64,49999,50000,NO
50000,65,27181,50000,NO
50000,66,50000,50000,SI
50000,67,4902,50000,NO
50000,68,48607,50000,NO
50000,69,50000,50000,SI
50000,70,7762,50000,NO
50000,71,50000,50000,SI
50000,72,49999,50000,NO
50000,73,50000,50000,SI
50000,74,40018,50000,NO
50000,75,50000,50000,SI
50000,76,49998,50000,NO
50000,77,50000,50000,SI
50000,78,12299,50000,NO
50000,79,9525,50000,NO
50000,80,50000,50000,SI
50000,81,50000,50000,SI
50000,82,50000,50000,SI
50000,83,49999,50000,NO
50000,84,47942,50000,NO
50000,85,50000,50000,SI
50000,86,50000,50000,SI
50000,87,50000,50000,SI
50000,88,49996,50000,NO
50000,89,49999,50000,NO
50000,90,49999,50000,NO
50000,91,50000,50000,SI
50000,92,27594,50000,NO
50000,93,32398,50000,NO
50000,94,50000,50000,SI
50000,95,50000,50000,SI
50000,96,24288,50000,NO
50000,97,12750,50000,NO
50000,98,23357,50000,NO
50000,99,26476,50000,NO
